image,latitude,longitude,address,date,shop,genre,memo
IMG_5563.webp,35.655789,139.75293,日本、〒105-0012 東京都港区芝大門２丁目１−１３ T･Sビル,2026/2/25,王道家味の継承店 カズ家 大門店,iekei,
IMG_5562.webp,35.656603,139.75281,日本、〒105-0011 東京都港区芝公園２丁目３−９,2026/2/24,麺屋芝乃,general,
IMG_5560.webp,35.753147,139.7337,日本、〒114-0002 東京都北区王子１丁目２８−６,2026/2/23,キング製麺,general,
IMG_5529.webp,35.657028,139.75319,日本、〒105-0012 東京都港区芝大門１丁目１３−２４,2026/2/20,炭火焼濃厚中華そば 奥倫道,general,
IMG_5527.webp,35.781075,139.72009,日本、〒115-0045 東京都北区赤羽１丁目４０−６,2026/2/19,麺処にぼし香 赤羽店,general,
IMG_5525.webp,35.656278,139.75279,日本、〒105-0012 東京都港区芝大門２丁目１−１６ + SHIFT SHIBADAIMON B1F,2026/2/18,麺屋芝乃,general,
IMG_5521.webp,35.661556,139.75665,日本、〒105-0021 東京都港区東新橋２丁目７−５,2026/2/17,ハちゃんラーメン 新橋店,general,
IMG_5489.webp,35.194139,136.94199,日本、〒461-0040 愛知県名古屋市東区矢田４丁目４−３５,2026/2/14,ラーメン二郎 名古屋大曽根店,jiro,
IMG_5470.webp,35.665683,139.75761,日本、〒105-0004 東京都港区新橋３丁目１７−１０,2026/2/13,ラーメンニキ新橋,general,
IMG_5466.webp,35.745022,139.72879,日本、〒170-0001 東京都豊島区西巣鴨４丁目１４−１１,2026/2/10,中華そば 半ざわ,general,
IMG_5465.webp,35.665164,139.75667,日本、〒105-0004 東京都港区新橋３丁目１６−１６,2026/2/9,背脂煮干中華そば 和市,general,
IMG_5389.webp,35.622414,140.10268,日本、〒260-0033 千葉県千葉市中央区春日２丁目２５−２ ポストにしうら １階,2026/2/1,横浜ラーメン 裏武蔵家 西千葉本店,iekei,
IMG_5385.webp,33.957236,131.2424,日本、〒755-0045 山口県宇部市中央町１丁目９−１３,2026/1/26,中華そば 一久 新川店,general,
IMG_5194.webp,35.665747,139.75313,日本、〒105-0003 東京都港区西新橋２丁目２３−１,2026/1/22,麺家 いし川,general,
IMG_5193.webp,35.667428,139.75575,日本、〒105-0004 東京都港区新橋２丁目５−６,2026/1/21,麺屋周郷 鶏のとりこ,general,
IMG_5074.webp,35.665639,139.75584,日本、〒105-0004 東京都港区新橋３丁目９,2026/1/16,新橋 纏,general,
IMG_5073.webp,35.759331,139.70731,日本、〒173-0001 東京都板橋区本町３２−１１,2026/1/15,麺庵 小島流,general,
IMG_5072.webp,35.758892,139.70732,日本、〒173-0001 東京都板橋区本町３９−１ アルス音楽院,2026/1/13,ヌードル亭 ショパン,general,
IMG_5069.webp,35.679978,139.7686,日本、〒104-0028 東京都中央区八重洲２丁目１−１ 地下１階,2026/1/12,津軽煮干 ひらこ屋,general,
IMG_5063.webp,35.695636,139.761,日本、〒101-0051 東京都千代田区神田神保町１丁目１−１１,2026/1/7,ラーメン豚山 神保町店,jiro,
